,CV Mean AUC,CV Std
Logistic Regression,0.8456125210901968,0.013817413318670695
Gradient Boosting,0.8455933213209497,0.013563339369188972
XGBoost,0.8381614940798384,0.012948234572578989
LightGBM,0.8331926284764452,0.011301804587560492
Random Forest,0.8246823500501929,0.011209897406583024
Decision Tree,0.6445341719847243,0.010083509827595167
